exit_time,strategy_mode,side,qty,entry_time,exit_reason,entry_price,exit_price,realized_points,realized_usd_gross,realized_usd_net,mfe_points,mae_points,mfe_usd,mae_usd,bars_held
2026-05-13T16:48:53,TREND,SHORT,1,2026-05-13 08:45:00-05:00,trend_trailing_tp,29195.5,29084.25,111.25,222.5,219.86,116.0,0.0,232.0,0.0,3
2026-05-13T16:54:19,TREND,SHORT,1,2026-05-13 08:53:00-05:00,trend_ema20_exit,29173.25,29187.75,-14.5,-29.0,-31.64,0.0,20.25,0.0,40.5,1
2026-05-13T17:36:37,TREND,LONG,1,2026-05-13 09:32:00-05:00,trend_trailing_tp,29236.0,29266.25,30.25,60.5,57.86,42.75,8.25,85.5,16.5,4
2026-05-13T17:45:38,TREND,LONG,1,2026-05-13 09:38:00-05:00,trend_trailing_tp,29246.5,29253.25,6.75,13.5,10.86,25.0,17.25,50.0,34.5,7
2026-05-13T18:07:25,TREND,LONG,1,2026-05-13 10:06:00-05:00,trend_trailing_tp,29322.5,29326.0,3.5,7.0,4.36,11.0,0.0,22.0,0.0,1
2026-05-13T20:16:27,TREND,LONG,1,2026-05-13 12:08:00-05:00,trend_trailing_tp,29484.0,29484.5,0.5,1.0,-1.64,10.75,8.75,21.5,17.5,8
2026-05-13T21:30:20,RANGE,LONG,1,2026-05-13 13:06:00-05:00,range_macd_exit,29478.75,29552.25,73.5,147.0,144.36,82.0,4.75,164.0,9.5,24
2026-05-13T22:09:24,TREND,SHORT,1,2026-05-13 14:01:00-05:00,trend_ema20_exit,29491.0,29507.25,-16.25,-32.5,-35.14,9.5,12.0,19.0,24.0,8
2026-05-13T22:31:18,RANGE,SHORT,1,2026-05-13 14:25:00-05:00,time_stop,29501.25,29527.0,-25.75,-51.5,-54.14,0.0,27.0,0.0,54.0,6
2026-05-13T22:39:16,RANGE,SHORT,1,2026-05-13 14:33:00-05:00,time_stop,29516.75,29528.25,-11.5,-23.0,-25.64,4.0,11.0,8.0,22.0,6
2026-05-14T17:34:20,RANGE,SHORT,1,2026-05-14 09:28:00-05:00,time_stop,29604.75,29618.5,-13.75,-27.5,-30.14,5.25,24.5,10.5,49.0,6
2026-05-14T17:52:45,TREND,LONG,1,2026-05-14 09:49:00-05:00,trend_trailing_tp,29700.75,29717.0,16.25,32.5,29.86,26.0,0.0,52.0,0.0,3
2026-05-14T17:59:24,TREND,LONG,1,2026-05-14 09:53:00-05:00,trend_ema20_exit,29716.75,29669.25,-47.5,-95.0,-97.64,0.0,42.0,0.0,84.0,6
2026-05-14T18:29:19,TREND,LONG,1,2026-05-14 10:22:00-05:00,trend_trailing_tp,29749.25,29764.25,15.0,30.0,27.36,23.0,8.25,46.0,16.5,7
2026-05-14T18:34:30,TREND,LONG,1,2026-05-14 10:29:00-05:00,trend_ema20_exit,29758.75,29741.75,-17.0,-34.0,-36.64,7.0,18.0,14.0,36.0,5
2026-05-14T21:01:24,TREND,LONG,1,2026-05-14 12:55:00-05:00,trend_ema20_exit,29742.5,29689.75,-52.75,-105.5,-108.14,5.75,49.0,11.5,98.0,6
2026-05-14T21:09:23,TREND,SHORT,1,2026-05-14 13:07:00-05:00,trend_trailing_tp,29664.75,29656.25,8.5,17.0,14.36,11.5,0.0,23.0,0.0,2
2026-05-14T21:12:17,TREND,SHORT,1,2026-05-14 13:09:00-05:00,trend_ema20_exit,29655.5,29684.5,-29.0,-58.0,-60.64,0.25,35.25,0.5,70.5,3
2026-05-14T21:12:56,TREND,SHORT,1,2026-05-14 13:12:00-05:00,trend_ema20_exit,29687.0,29689.75,-2.75,-5.5,-8.14,0.0,3.0,0.0,6.0,0
2026-05-14T21:13:35,TREND,SHORT,1,2026-05-14 13:13:00-05:00,trend_ema20_exit,29679.5,29681.75,-2.25,-4.5,-7.14,0.0,1.0,0.0,2.0,0
2026-05-14T21:15:20,TREND,SHORT,1,2026-05-14 13:14:00-05:00,trend_ema20_exit,29684.25,29687.5,-3.25,-6.5,-9.14,0.0,4.0,0.0,8.0,1
2026-05-14T21:38:21,RANGE,LONG,1,2026-05-14 13:32:00-05:00,time_stop,29689.75,29679.75,-10.0,-20.0,-22.64,7.25,13.5,14.5,27.0,6
2026-05-14T22:16:27,RANGE,SHORT,1,2026-05-14 14:08:00-05:00,time_stop,29709.25,29710.5,-1.25,-2.5,-5.14,8.75,16.75,17.5,33.5,8
2026-05-14T22:31:48,RANGE,SHORT,1,2026-05-14 14:25:00-05:00,time_stop,29714.75,29720.0,-5.25,-10.5,-13.14,17.75,5.75,35.5,11.5,6
